code,name
ACH,ACH
CATEDRALA,Catedrala
SPITAL,Spital
ROMTELECOM,Romtelecom
UNION,UNION
MINULESCU,Minulescu
ARCULUI,Arcului
FINANTE,Finante
VALCEA,Valcea
METALURGIC,Metalurgic
STEAUA,Steaua
FABRA,Fabra
LPS,LPS
HELIOS,Helios
PARC HOTEL,Hotel Parc
PIRELLI,Pirelli
TMK,TMK
13 DECEMBRIE,13 Decembrie
TUNARI,Tunari
ARTILERIEI,Artileriei
CAO,CAO
PRYSMIAN1,Prysmian 1
PRYSMIAN2,Prysmian 2
LIDL,Lidl Steaua
GARA,Gara
KAUFLAND,Kaufland Steaua
AXXA,AXXA
EROILOR,Eroilor
DECORA,Decora
TMUCB,TMUCB
OMV,OMV Cornisei